,Open,Close,test_close
1986-03-13 05:00:00,0.054594433,0.0599464662,0.0511975118832666
1986-03-14 05:00:00,0.0599464907,0.0620873049,0.05276649518595633
1986-03-17 05:00:00,0.0620873252,0.0631583482,0.053646728352447326
1986-03-18 05:00:00,0.0631583299,0.0615521036,0.052071791497617426
1986-03-19 05:00:00,0.0615521424,0.0604817346,0.050915242059744514
1986-03-20 05:00:00,0.0604816814,0.0588760711,0.048971433164034295
1986-03-21 05:00:00,0.0588760739,0.0572704636,0.04775498620380603
1986-03-24 05:00:00,0.0572704588,0.0556648485,0.0457563947896773
1986-03-25 05:00:00,0.055664859,0.056735266,0.04634406895296195
1986-03-26 05:00:00,0.0567352704,0.058340881,0.04825784931686883
1986-03-27 05:00:00,0.0583409314,0.0594113395,0.04947435047002813
1986-03-31 05:00:00,0.0594112746,0.0588760711,0.04835078273190874
1986-04-01 05:00:00,0.0588760846,0.058340881,0.0487170132851773
1986-04-02 05:00:00,0.0583408677,0.0588760711,0.04989533415234604
1986-04-03 05:00:00,0.0594113395,0.0594113395,0.050967079290899164
1986-04-04 05:00:00,0.0594113395,0.0594113395,0.050124981542737146
1986-04-07 05:00:00,0.0594112881,0.058340881,0.04832081609419703
1986-04-08 05:00:00,0.0583408677,0.0588760711,0.04989533415234604
1986-04-09 05:00:00,0.0588760596,0.0599464662,0.050431161764620924
1986-04-10 05:00:00,0.0599465307,0.0604817346,0.05017979998063993
1986-04-11 05:00:00,0.0610169,0.0615521036,0.052575030891986785
1986-04-14 05:00:00,0.0615521013,0.0620873049,0.05268981959206798
1986-04-15 05:00:00,0.0620873049,0.0620873049,0.050578964144364136
1986-04-16 05:00:00,0.062087306,0.0642287359,0.05403777747901728
1986-04-17 05:00:00,0.0642287373,0.0647639409,0.0549481033596706
1986-04-18 05:00:00,0.0647639195,0.0626231059,0.052807212782013835
1986-04-21 05:00:00,0.0626231059,0.0626231059,0.05198696031980887
