,Open,Close,test_close
1986-03-13 05:00:00,0.0545944601,0.059946496,0.05034286038968361
1986-03-14 05:00:00,0.0599465015,0.0620873161,0.051889484251866236
1986-03-17 05:00:00,0.0620873105,0.0631583333,0.05276227051844984
1986-03-18 05:00:00,0.0631583643,0.0615521371,0.05117497345401745
1986-03-19 05:00:00,0.0615520893,0.0604816824,0.0500200804280837
1986-03-20 05:00:00,0.0604816967,0.058876086,0.04807187729603157
1986-03-21 05:00:00,0.0588760931,0.0572704822,0.04685851059578994
1986-03-24 05:00:00,0.0572704894,0.0556648783,0.0448566192749027
1986-03-25 05:00:00,0.0556648334,0.0567352399,0.04545474503284197
1986-03-26 05:00:00,0.0567352957,0.0583409071,0.047373706725281295
1986-03-27 05:00:00,0.0583408766,0.0594112836,0.04858704973623418
1986-03-31 05:00:00,0.0594112896,0.058876086,0.047453006171259915
1986-04-01 05:00:00,0.0588761109,0.0583409071,0.04782292448397385
1986-04-02 05:00:00,0.0583408825,0.058876086,0.049010629963682106
1986-04-03 05:00:00,0.0594112836,0.0594112836,0.05008238097485673
1986-04-04 05:00:00,0.0594112836,0.0594112836,0.04923523265140517
1986-04-07 05:00:00,0.0594113147,0.0583409071,0.04742371880362839
1986-04-08 05:00:00,0.0583408825,0.058876086,0.049010629963682106
1986-04-09 05:00:00,0.0588760889,0.059946496,0.04954651140579358
1986-04-10 05:00:00,0.059946479,0.0604816824,0.04928890514234041
1986-04-11 05:00:00,0.0610169333,0.0615521371,0.05169054383314631
1986-04-14 05:00:00,0.0615521124,0.0620873161,0.05180282322510266
1986-04-15 05:00:00,0.0620873161,0.0620873161,0.04967952148412991
1986-04-16 05:00:00,0.0620873205,0.0642287508,0.05315654302875572
1986-04-17 05:00:00,0.0642287225,0.064763926,0.05405874766354657
1986-04-18 05:00:00,0.0647639503,0.0626231357,0.051906124600243686
1986-04-21 05:00:00,0.0626231357,0.0626231357,0.05109195652404708
1986-04-22 05:00:00,0.0626231604,0.0615521371,0.051121292733583346
